Frequency,Signal_Strength
100000000,-73.91
101781737,-66.88
103563474,-61.84
105345212,-79.81
107126949,-67.78
174832962,-70.88
176614699,-71.38
178396437,-68.34
180178174,-73.81
451002227,-72.84
452783964,-72.34
454565702,-55.84
459910913,-75.38
461692650,-65.91
463474388,-78.91
470601336,-71.97
472383073,-72.47
474164811,-74.0
475946548,-73.5
506236080,-74.25
508017817,-74.75
509799555,-71.28
511581292,-56.28
513363029,-61.28
515144766,-58.81
516926503,-62.31
518708241,-61.34
520489978,-57.34
522271715,-55.84
524053452,-62.88
525835189,-58.91
527616927,-60.91
529398664,-60.91
572160356,-75.97
573942094,-73.47
575723831,-72.94
577505568,-65.94
579287305,-62.94
581069042,-63.91
582850780,-66.41
584632517,-60.41
586414254,-60.88
588195991,-58.88
589977728,-59.84
591759465,-59.34
593541203,-58.34
595322940,-59.84
597104677,-67.81
598886414,-78.31
600668151,-76.28
602449889,-66.78
604231626,-72.28
606013363,-71.75
607795100,-76.25
622048998,-61.16
623830735,-54.66
625612472,-56.62
627394209,-53.12
629175947,-56.12
630957684,-53.59
632739421,-56.09
634521158,-55.59
636302895,-58.06
638084633,-55.06
639866370,-57.06
641648107,-60.53
643429844,-70.03
645211581,-73.0
646993318,-70.0
648775056,-69.5
650556793,-66.97
652338530,-79.97
675501114,-79.81
728953229,-55.19
730734967,-58.66
732516704,-56.31
734298441,-63.47
736080178,-62.5
737861915,-60.69
739643653,-60.72
741425390,-64.31
743207127,-61.81
744988864,-75.81
746770601,-37.31
748552339,-30.81
750334076,-35.31
752115813,-32.81
753897550,-37.31
755679287,-38.31
757461024,-71.81
759242762,-69.31
761024499,-68.81
762806236,-67.81
764587973,-62.81
766369710,-65.81
768151448,-72.81
785968820,-79.81
851893096,-72.25
853674833,-68.72
855456570,-76.69
869710468,-68.0
871492205,-66.0
873273942,-66.34
875055679,-64.72
876837416,-64.19
878619154,-67.5
880400891,-65.97
882182628,-64.31
883964365,-67.19
885746102,-62.19
887527840,-62.53
889309577,-63.47
891091314,-60.84
892873051,-61.75
894654788,-75.19
